article_id,compound,neg,neu,pos
1,0.9081,0.078,0.764,0.157
2,0.986,0.033,0.81,0.157
3,0.9985,0.108,0.749,0.144
4,-0.9524,0.143,0.784,0.073
5,-0.0771,0.113,0.779,0.107
7,0.9886,0.107,0.679,0.214
8,0.9895,0.098,0.666,0.235
9,0.9716,0.0,0.839,0.161
10,-0.6808,0.111,0.815,0.074
11,-0.8625,0.144,0.783,0.073
12,0.9552,0.02,0.761,0.218
14,0.8677,0.076,0.805,0.12
15,-0.2023,0.074,0.88,0.046
16,-0.988,0.263,0.708,0.028
17,-0.8217,0.094,0.811,0.095
20,0.6249,0.132,0.716,0.152
23,-0.4404,0.324,0.552,0.124
24,0.9959,0.017,0.777,0.205
25,-0.296,0.136,0.744,0.12
27,0.4019,0.029,0.933,0.038
28,-0.9587,0.143,0.784,0.073
30,-0.6908,0.082,0.87,0.047
32,0.9766,0.131,0.7,0.169
33,-0.967,0.155,0.776,0.069
34,-0.9042,0.143,0.82,0.037
35,0.9657,0.049,0.718,0.233
36,0.872,0.027,0.87,0.103
37,-0.1511,0.044,0.956,0.0
40,-0.9887,0.197,0.664,0.139
41,-0.8807,0.169,0.831,0.0
42,0.9888,0.116,0.675,0.209
43,-0.1027,0.101,0.805,0.094
44,0.9952,0.024,0.761,0.215
47,0.9639,0.099,0.754,0.148
48,0.2023,0.0,0.987,0.013
49,0.0258,0.098,0.8,0.102
52,0.9552,0.034,0.839,0.127
53,0.9952,0.024,0.783,0.193
54,0.8625,0.099,0.778,0.124
56,-0.9434,0.151,0.765,0.084
57,0.9859,0.023,0.788,0.189
58,0.7837,0.107,0.781,0.112
59,0.998,0.015,0.78,0.205
60,-0.1779,0.078,0.862,0.06
61,-0.7914,0.06,0.912,0.028
62,-0.9861,0.187,0.728,0.085
63,-0.9393,0.262,0.688,0.05
64,0.9595,0.103,0.749,0.148
65,-0.967,0.32,0.663,0.017
66,-0.4588,0.168,0.705,0.127
67,0.9907,0.016,0.822,0.162
68,-0.1779,0.076,0.852,0.072
71,0.9786,0.051,0.835,0.114
75,-0.7655,0.154,0.784,0.062
78,0.9954,0.073,0.701,0.226
80,0.9657,0.025,0.875,0.101
81,0.9784,0.045,0.853,0.102
84,0.9895,0.0,0.752,0.248
86,0.9776,0.006,0.878,0.116
89,0.9764,0.071,0.826,0.104
91,0.9902,0.096,0.74,0.164
93,-0.9982,0.129,0.834,0.037
95,0.9823,0.052,0.728,0.22
97,-0.6258,0.285,0.632,0.083
98,0.7506,0.043,0.745,0.213
100,0.9879,0.119,0.646,0.235
101,0.91,0.0,0.829,0.171
102,0.9856,0.052,0.786,0.161
103,-0.9759,0.177,0.733,0.09
104,-0.2471,0.105,0.785,0.11
105,-0.5423,0.107,0.797,0.096
106,-0.8999,0.132,0.775,0.093
107,0.8741,0.112,0.757,0.13
108,0.4939,0.134,0.709,0.156
110,0.6705,0.124,0.746,0.13
111,0.9896,0.035,0.789,0.177
112,0.9738,0.0,0.855,0.145
113,0.8271,0.11,0.753,0.137
114,0.7281,0.08,0.823,0.097
115,0.994,0.124,0.697,0.18
118,0.9897,0.01,0.777,0.213
120,0.9814,0.021,0.82,0.16
121,0.9712,0.046,0.804,0.15
122,-0.4404,0.048,0.952,0.0
123,0.9534,0.012,0.833,0.155
124,0.9442,0.01,0.898,0.092
125,-0.5106,0.097,0.814,0.089
128,0.9022,0.009,0.886,0.105
129,0.9967,0.016,0.887,0.097
130,-0.9877,0.143,0.773,0.084
131,0.9413,0.01,0.862,0.128
132,0.3182,0.056,0.837,0.108
134,0.9122,0.0,0.688,0.312
135,0.9607,0.036,0.817,0.148
136,0.6487,0.069,0.842,0.089
137,0.9874,0.039,0.825,0.136
138,0.968,0.05,0.858,0.093
139,0.9674,0.053,0.809,0.138
140,-0.5267,0.086,0.879,0.036
142,0.5859,0.073,0.799,0.128
143,0.946,0.028,0.845,0.127
145,0.886,0.161,0.584,0.254
146,0.743,0.0,0.919,0.081
147,-0.9583,0.182,0.731,0.087
148,-0.9635,0.285,0.674,0.041
149,0.9866,0.034,0.814,0.153
150,0.9766,0.024,0.847,0.129
151,-0.3182,0.152,0.684,0.164
152,-0.7003,0.112,0.793,0.094
154,0.9338,0.127,0.712,0.161
156,0.9794,0.031,0.835,0.134
158,0.9899,0.0,0.869,0.131
